page,page_number,number,text_ar,option_a,option_b,option_c,option_d,correct,has_diagram,diagram_file,notes
image,8,1,إذا كان $\triangle ABC \sim \triangle EFG$ فإن ..,$\angle B \equiv \angle C$,$\angle A \equiv \angle G$,$\overline{AC} \equiv \overline{EF}$,$\angle A \equiv \angle E$,D,False,,
image,8,7,"مثلثان متشابهان، أضلاع المثلث الأكبر $9, 15, 18$ نسبة التشابه بينهم $\frac{2}{3}$، فما محيط المثلث الأصغر؟",12,24,28,14,C,False,,
image,8,11,"ما صورة النقطة $B(2,3)$ الناتجة من الإزاحة $(x, y) \rightarrow (x + 4, y - 5)$؟","$(6,0)$","$(4,5)$","$(6,-2)$","$(-2,6)$",C,False,,تكرر 2023
image,8,16,ما محيط المثلث $ABC$؟,24,30,32,36,B,True,image_question_16_diagram.png,
image,8,17,كم عدد أضلاع المضلع المنتظم الذي قياس زاويته الداخلية $135^\circ$؟,4,8,5,7,B,False,,
image,8,18,سداسي منتظم صُنعَت منه شجرة مشابك بقص ستة مثلثات قائمة متساوية ومتطابقة، بحيث كانت أحرف السداسي أوزانًا في المثلثات المقطوعة، وكان $m\angle XYZ = 45^\circ$، أوجد $m\angle XZR$.,30^\circ,45^\circ,60^\circ,50^\circ,A,True,image_question_18_diagram.png,
image,8,26,قيمة $x$ في الشكل تساوي..,1,6,8,المعطيات غير كافية,B,True,image_question_26_diagram.png,
image,8,27,في الشكل المقابل: إذا كان $m\angle 1 = m\angle 2$ فما قيمة $x$؟,4,3,6,5,B,True,image_question_27_diagram.png,
image,8,46,في المعين $ABCD$ ما قيمة $x$؟,30^\circ,20^\circ,120^\circ,60^\circ,C,True,image_question_46_diagram.png,
image,8,50,في المعين $ABCD$، إذا كان $AC = 10$ و $BD = 24$، فاوْجد طول ضلع المعين.,5,8,13,15,C,True,image_question_50_diagram.png,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,1,أي الدوال التالية لها ثلاث أصفار حقيقية,,,,,B,True,WhatsApp_Image_2026-01-11_at_3.08.37_PM_question_1_diagram.png,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,2,ناتج ضرب العددين المركبين $2 + 6i$ و $2 - 6i$ هو,-32,40,4 - 36i,4 + 36i,B,False,,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,3,ما قيمة $\frac{26i}{3-2i}$ ؟,36 - 27i,3 + 6i,-4 - 6i,-4 + 6i,D,False,,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,4,قيمة $i^{25}$ تساوي,i,-1,1,-i,C,False,,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,5,قيمة $i^{12}$ تساوي,1,-1,i,-i,A,False,,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,6,9 - 36i (C    27 + 36i (D    9 + 36i (B    36 - 27i (A,36 - 27i,9 + 36i,9 - 36i,27 + 36i,D,False,,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,7,حيث $i = \sqrt{-1}$ فإن $5i(7i) = ...$,70,-70,35,-35,C,False,,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,8,مجموعة حل المعادلة $x^4 - 16 = 0$ هي,"\{4, -4\}",\{4\},"\{2, -2, 2i, -2i\}","\{2, -2\}",C,False,,
WhatsApp_Image_2026-01-11_at_3.08.37_PM,30,9,كم صفرا حقيقيا للدالة الممثلة المقابلة,1,2,3,4,B,True,WhatsApp_Image_2026-01-11_at_3.08.37_PM_question_9_diagram.png,
WhatsApp_Image_2026-01-11_at_3.08.39_PM_3,20,1,المقطع المستقيم المرسوم من مركز الدائرة إلى نقطة على الدائرة يسمى ...,الوتر,القطر,المماس,نصف القطر,,True,WhatsApp_Image_2026-01-11_at_3.08.39_PM_3_question_1_diagram.png,
WhatsApp_Image_2026-01-11_at_3.08.39_PM_3,20,2,الزاوية الناتجة من تقاطع مماسين من نقطة خارج الدائرة تساوي ...,$\frac{1}{2}(x-y)$,$x-y$,$x+y$,$2x$,,False,,
WhatsApp_Image_2026-01-11_at_3.08.39_PM_3,20,3,الزاوية الناتجة من تقاطع وترين داخل الدائرة تساوي ...,$\frac{1}{2}(x+y)$,$x+y$,$x-y$,$2x$,,False,,
WhatsApp_Image_2026-01-11_at_3.08.39_PM_3,20,4,الزاوية الناتجة من تقاطع قاطع مع قاطع أو قاطع مع مماس خارج الدائرة تساوي ...,$\frac{1}{2}(x-y)$,$x-y$,$x+y$,$2x$,,False,,
WhatsApp_Image_2026-01-11_at_3.08.39_PM_3,20,5,إذا كان $JK^2 = IK 	imes KM$ فإن النقطة $K$ تقع على ...,الوتر,المماس,الدائرة,القطر,,True,WhatsApp_Image_2026-01-11_at_3.08.39_PM_3_question_5_diagram.png,
WhatsApp_Image_2026-01-11_at_3.08.39_PM_3,20,6,"إذا كان $AB 	imes AC = AD 	imes AE$ فإن النقاط $A, B, C, D, E$ تقع على ...",مستقيم واحد,دائرة واحدة,مستوي واحد,مماس واحد,,True,WhatsApp_Image_2026-01-11_at_3.08.39_PM_3_question_6_diagram.png,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,1,ناتج $1 + 1i$ هو:,1,1 + 1i,1i,0,B,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,2,"ناتج $8 + 4i \, (0$ هو:",4 + 4i,8 + 4i,8i,16,B,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,3,"ناتج $15 + 15i \, (0$ هو:",15i,15,1,0,D,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,4,الصيغة الجبرية لعدد مركب هو:,$a + bi$,$a - bi$,$a + b$,$a - b$,A,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,5,ناتج ضرب العددين المركبين $-32$ و $40$ هو:,-32,40,4 - 36i,4 + 36i,A,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,6,ناتج ضرب العددين المركبين $5(\cos 40^\circ + i \sin 40^\circ)$ و $3(\cos 50^\circ + i \sin 50^\circ)$ هو:,$i(2 + 6i)(2 - 6i)$,$i$,$i(2 + 6i)(2 + 6i)$,$-i$,C,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,7,إذا كان $z = 3 - \sqrt{5}$ فإن $z = 3 - \sqrt{5}$ هو:,$\sqrt{15}$,$\sqrt{14}$,$64\sqrt{3}$,$64$,C,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,8,إذا كان $z = 5 + 5\sqrt{3}$ فإن $z = 5 + 5\sqrt{3}$ هو:,27,30,41,60,A,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,9,إذا كان $z = 7\cos \frac{\pi}{3} + i\sin \frac{\pi}{3}$ فإن $|z|$ يساوي:,7,4,41,90,A,False,,
WhatsApp_Image_2026-01-11_at_3.08.40_PM_6,80,10,إذا كان $z = 100\cos \frac{\pi}{3} + i\sin \frac{\pi}{8}$ و $z = 10\cos \frac{\pi}{3} + i\sin \frac{\pi}{10}$ فإن $|z|$ يساوي:,225^0,180^0,120^0,90^0,C,False,,
